
中央频道,#genre#
CCTV1,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000120&playtoken=ABCDEFGH&auth=no
CCTV2,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000121&playtoken=ABCDEFGH&auth=no
CCTV3,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000122&playtoken=ABCDEFGH&auth=no
CCTV5,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000123&playtoken=ABCDEFGH&auth=no
CCTV5+,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000131&playtoken=ABCDEFGH&auth=no
CCTV6,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000124&playtoken=ABCDEFGH&auth=no
CCTV7,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000125&playtoken=ABCDEFGH&auth=no
CCTV8,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000126&playtoken=ABCDEFGH&auth=no
CCTV9,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000127&playtoken=ABCDEFGH&auth=no
CCTV10,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000128&playtoken=ABCDEFGH&auth=no
CCTV12,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000129&playtoken=ABCDEFGH&auth=no
CCTV14,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000130&playtoken=ABCDEFGH&auth=no
CCTV16,http://httpdvb.slave.yqdtv.com:13164/playurl?protocol=http&playtype=live&accesstoken=G53F3950V21307D1T74A05E7BJ740C03ABM79008A21I1CD9C8B7K98BDA6&programid=4200000297&playtoken=ABCDEFGH&auth=no


央视|梅州酒店
CCTV1,http://fyld.eatuo.com:9901/tsfile/live/1018_1.m3u8
CCTV2,http://fyld.eatuo.com:9901/tsfile/live/1019_1.m3u8
CCTV3,http://fyld.eatuo.com:9901/tsfile/live/1020_1.m3u8
CCTV4,http://fyld.eatuo.com:9901/tsfile/live/1021_1.m3u8
CCTV5,http://fyld.eatuo.com:9901/tsfile/live/1022_1.m3u8
CCTV6,http://fyld.eatuo.com:9901/tsfile/live/1024_1.m3u8
CCTV7,http://fyld.eatuo.com:9901/tsfile/live/1025_1.m3u8
CCTV8,http://fyld.eatuo.com:9901/tsfile/live/1026_1.m3u8
CCTV9,http://fyld.eatuo.com:9901/tsfile/live/1027_1.m3u8
CCTV10,http://fyld.eatuo.com:9901/tsfile/live/1028_1.m3u8
CCTV11,http://fyld.eatuo.com:9901/tsfile/live/1029_1.m3u8
CCTV12,http://fyld.eatuo.com:9901/tsfile/live/1030_1.m3u8
CCTV14,http://fyld.eatuo.com:9901/tsfile/live/1032_1.m3u8
CCTV15,http://fyld.eatuo.com:9901/tsfile/live/1033_1.m3u8
CCTV17,http://fyld.eatuo.com:9901/tsfile/live/1034_1.m3u8
CCTV5+,http://fyld.eatuo.com:9901/tsfile/live/1023_1.m3u8


央视|南阳移动
CCTV1,http://39.135.34.144:8080/000000001000/1000000001000018602/index.m3u8?test/PLTV/=02
CCTV1,http://39.135.34.144:8080/000000001000/1000000001000021973/1.m3u8?xtkg
CCTV2,http://39.135.34.144:8080/000000001000/1000000001000012442/index.m3u8?test/PLTV/=02
CCTV3,http://39.135.34.144:8080/000000001000/1000000001000013682/index.m3u8?test/PLTV/=02
CCTV4,http://39.135.34.144:8080/000000001000/1000000002000031664/index.m3u8?test/PLTV/=02
CCTV6,http://39.135.34.144:8080/000000001000/1000000001000016466/index.m3u8?test/PLTV/=02
CCTV7,http://39.135.34.144:8080/000000001000/1000000001000017218/index.m3u8?test/PLTV/=02
CCTV8,http://39.135.34.144:8080/000000001000/1000000001000031433/index.m3u8?test/PLTV/=02
CCTV9,http://39.135.34.144:8080/000000001000/1000000001000014583/index.m3u8?test/PLTV/=02
CCTV9,http://39.135.34.144:8080/000000001000/1000000001000028286/index.m3u8?test/PLTV/=02
CCTV10,http://39.135.34.144:8080/000000001000/1000000001000023734/index.m3u8?test/PLTV/=02
CCTV11,http://39.135.34.144:8080/000000001000/1000000002000019789/index.m3u8?test/PLTV/=02
CCTV12,http://39.135.34.144:8080/000000001000/1000000001000032494/index.m3u8?test/PLTV/=02
CCTV13,http://39.135.34.144:8080/000000001000/1000000002000021303/index.m3u8?test/PLTV/=02
CCTV14,http://39.135.34.144:8080/000000001000/1000000001000021349/index.m3u8?test/PLTV/=02
CCTV15,http://39.135.34.144:8080/000000001000/1000000002000008163/index.m3u8?test/PLTV/=02
CCTV5+,http://39.135.34.144:8080/000000001000/1000000001000018504/index.m3u8?test/PLTV/=02


央视|陕西移动（25帧）
CCTV1,http://111.20.33.70/PLTV/88888893/224/3221226010/index.m3u8
CCTV2,http://111.20.33.70/PLTV/88888893/224/3221226224/index.m3u8
CCTV3,http://111.20.33.70/PLTV/88888893/224/3221226397/index.m3u8
CCTV4,http://111.20.33.70/PLTV/88888893/224/3221226223/index.m3u8
CCTV5,http://111.20.33.70/PLTV/88888893/224/3221226395/index.m3u8
CCTV6,http://111.20.33.70/PLTV/88888893/224/3221226011/index.m3u8
CCTV7,http://111.20.33.70/PLTV/88888893/224/3221226192/index.m3u8
CCTV8,http://111.20.33.70/PLTV/88888893/224/3221226012/index.m3u8
CCTV9,http://111.20.33.70/PLTV/88888893/224/3221226197/index.m3u8
CCTV10,http://111.20.33.70/PLTV/88888893/224/3221226189/index.m3u8
CCTV11,http://111.20.33.70/PLTV/88888893/224/3221226240/index.m3u8
CCTV12,http://111.20.33.70/PLTV/88888893/224/3221226190/index.m3u8
CCTV13,http://111.20.33.70/PLTV/88888893/224/3221226233/index.m3u8
CCTV14,http://111.20.33.70/PLTV/88888893/224/3221226193/index.m3u8
CCTV15,http://111.13.42.234/PLTV/88888888/224/3221226460/1.m3u8
CCTV16,http://111.20.33.70/PLTV/88888893/224/3221226921/index.m3u8
CCTV17,http://111.20.33.70/PLTV/88888893/224/3221226198/index.m3u8
CCTV5+,http://111.20.33.70/PLTV/88888893/224/3221226221/index.m3u8
兵器科技,http://111.20.33.70/PLTV/88888893/224/3221226975/index.m3u8
第一剧场,http://111.20.33.70/PLTV/88888893/224/3221226959/index.m3u8
风云剧场,http://111.20.33.70/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://111.20.33.70/PLTV/88888893/224/3221226953/index.m3u8
风云足球,http://111.20.33.70/PLTV/88888893/224/3221226984/index.m3u8
高尔夫网球,http://111.20.33.70/PLTV/88888893/224/3221226978/index.m3u8
怀旧剧场,http://111.20.33.70/PLTV/88888893/224/3221226972/index.m3u8
女性时尚,http://111.20.33.70/PLTV/88888893/224/3221226969/index.m3u8
世界地理,http://111.20.33.70/PLTV/88888893/224/3221226947/index.m3u8
央视台球,http://111.20.33.70/PLTV/88888893/224/3221226956/index.m3u8
文化精品,http://111.20.33.70/PLTV/88888893/224/3221226981/index.m3u8

央视|补充
女性时尚,http://36.35.223.230:40446/tsfile/live/1001_1.m3u8
第一剧场,http://36.35.223.230:40446/tsfile/live/1049_1.m3u8
风云足球,http://36.35.223.230:40446/tsfile/live/1063_1.m3u8
风云剧场,http://36.35.223.230:40446/tsfile/live/1150_1.m3u8
风云音乐,http://36.35.223.230:40446/tsfile/live/1148_1.m3u8
兵器科技,http://36.35.223.230:40446/tsfile/live/1093_1.m3u8
怀旧剧场,http://36.35.223.230:40446/tsfile/live/1149_1.m3u8
高尔夫网球,http://36.35.223.230:40446/tsfile/live/1105_1.m3u8




卫视频道,#genre#
卫视主干|歌华为主
浙江卫视,http://hls.yun.gehua.net.cn:8088/live/ZheJiangHD_6000.m3u8
江苏卫视,http://hls.yun.gehua.net.cn:8088/live/JiangSuHD_6000.m3u8
湖南卫视,http://hls.yun.gehua.net.cn:8088/live/HuNanHD_6000.m3u8
辽宁卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/LiaoNingHD/ipcdn,LiaoNingHD_6000K_live.m3u8
安徽卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/AnHuiHD/ipcdn,AnHuiHD_6000K_live.m3u8
北京卫视,http://hls.yun.gehua.net.cn:8088/live/BTV1HD_6000.m3u8
重庆卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/ChongQingHD/ipcdn,ChongQingHD_6000K_live.m3u8
东方卫视,http://hls.yun.gehua.net.cn:8088/live/DongFangHD_6000.m3u8
东南卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/FuJianDongNanHD/ipcdn,FuJianDongNanHD_6000K_live.m3u8
广东卫视,http://hls.yun.gehua.net.cn:8088/live/GuangDongHD_6000.m3u8
广西卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/GuangXiHD/ipcdn,GuangXiHD_6000K_live.m3u8
贵州卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/GuiZhouHD/ipcdn,GuiZhouHD_6000K_live.m3u8
海南卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/LvYouWeiShiHD/ipcdn,LvYouWeiShiHD_6000K_live.m3u8
河北卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/HeBeiHD/ipcdn,HeBeiHD_6000K_live.m3u8
河南卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/HeNanHD/ipcdn,HeNanHD_6000K_live.m3u8
黑龙江卫视,http://hls.yun.gehua.net.cn:8088/live/HeiLongJiangHD_6000.m3u8
湖北卫视,http://hls.yun.gehua.net.cn:8088/live/HuBeiHD_6000.m3u8
吉林卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/JiLinWeiShiHD/ipcdn,JiLinWeiShiHD_6000K_live.m3u8
江西卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/JiangXiHD/ipcdn,JiangXiHD_6000K_live.m3u8
山东卫视,http://hls.yun.gehua.net.cn:8088/live/ShanDongHD_6000.m3u8
山西卫视,http://218.104.239.114:9901/tsfile/live/0118_1.m3u8
陕西卫视,http://220.182.45.198:20088/tsfile/live/0136_1.m3u8
深圳卫视,http://hls.yun.gehua.net.cn:8088/live/ShenZhenHD_6000.m3u8
四川卫视,http://hls.yun.gehua.net.cn:8088/live/ipcdn/SiChuanHD/ipcdn,SiChuanHD_6000K_live.m3u8
天津卫视,http://hls.yun.gehua.net.cn:8088/live/TianJinHD_6000.m3u8

兵团卫视,http://220.182.45.198:20088/tsfile/live/0115_1.m3u8
大湾区卫视,http://183.27.249.86:9901/tsfile/live/1013_1.m3u8
甘肃卫视,http://218.104.239.114:9901/tsfile/live/0141_1.m3u8
西藏卫视,http://220.182.45.198:20088/tsfile/live/0111_1.m3u8
云南卫视,http://b1batman.qicp.vip:8055/udp/239.45.0.4:5140
青海卫视,http://fyld.eatuo.com:9901/tsfile/live/1091_1.m3u8
内蒙古卫视,http://fyld.eatuo.com:9901/tsfile/live/1090_1.m3u8
宁夏卫视,http://fyld.eatuo.com:9901/tsfile/live/1094_1.m3u8


卫视|广西玉林电信
辽宁卫视,http://222.217.230.46:8181/tsfile/live/0121_1.m3u8
安徽卫视,http://222.217.230.46:8181/tsfile/live/0130_1.m3u8
山东卫视,http://222.217.230.46:8181/tsfile/live/0131_1.m3u8
江西卫视,http://222.217.230.46:8181/tsfile/live/0138_1.m3u8
广西卫视,http://222.217.230.46:8181/tsfile/live/1004_1.m3u8
广东卫视,http://222.217.230.46:8181/tsfile/live/1019_1.m3u8
东方卫视,http://222.217.230.46:8181/tsfile/live/1021_1.m3u8
北京卫视,http://222.217.230.46:8181/tsfile/live/1022_1.m3u8
吉林卫视,http://222.217.230.46:8181/tsfile/live/1024_1.m3u8
广西卫视,http://222.217.230.46:8181/tsfile/live/1025_1.m3u8
江苏卫视,http://222.217.230.46:8181/tsfile/live/1026_1.m3u8
深圳卫视,http://222.217.230.46:8181/tsfile/live/1027_1.m3u8
东南卫视,http://222.217.230.46:8181/tsfile/live/1029_1.m3u8
甘肃卫视,http://222.217.230.46:8181/tsfile/live/1030_1.m3u8
黑龙江卫视,http://222.217.230.46:8181/tsfile/live/1040_1.m3u8
湖北卫视,http://222.217.230.46:8181/tsfile/live/1043_1.m3u8
天津卫视,http://222.217.230.46:8181/tsfile/live/1044_1.m3u8
河北卫视,http://222.217.230.46:8181/tsfile/live/1045_1.m3u8
浙江卫视,http://222.217.230.46:8181/tsfile/live/1050_1.m3u8
湖南卫视,http://222.217.230.46:8181/tsfile/live/1049_1.m3u8
贵州卫视,http://222.217.230.46:8181/tsfile/live/1058_1.m3u8

卫视|广西桂林电信
大湾区卫视,http://171.110.10.77:8181/tsfile/live/1002_1.m3u8
广西卫视,http://171.110.10.77:8181/tsfile/live/1030_1.m3u8
广东卫视,http://171.110.10.77:8181/tsfile/live/1031_1.m3u8
湖南卫视,http://171.110.10.77:8181/tsfile/live/1032_1.m3u8
东方卫视,http://171.110.10.77:8181/tsfile/live/1033_1.m3u8
浙江卫视,http://171.110.10.77:8181/tsfile/live/1034_1.m3u8
江苏卫视,http://171.110.10.77:8181/tsfile/live/1035_1.m3u8
深圳卫视,http://171.110.10.77:8181/tsfile/live/1036_1.m3u8
天津卫视,http://171.110.10.77:8181/tsfile/live/1037_1.m3u8
湖北卫视,http://171.110.10.77:8181/tsfile/live/1038_1.m3u8
山东卫视,http://171.110.10.77:8181/tsfile/live/1039_1.m3u8
黑龙江卫视,http://171.110.10.77:8181/tsfile/live/1040_1.m3u8
河北卫视,http://171.110.10.77:8181/tsfile/live/1041_1.m3u8
东南卫视,http://171.110.10.77:8181/tsfile/live/1043_1.m3u8
贵州卫视,http://171.110.10.77:8181/tsfile/live/1042_1.m3u8
辽宁卫视,http://171.110.10.77:8181/tsfile/live/1044_1.m3u8
安徽卫视,http://171.110.10.77:8181/tsfile/live/1045_1.m3u8
甘肃卫视,http://171.110.10.77:8181/tsfile/live/1046_1.m3u8
四川卫视,http://171.110.10.77:8181/tsfile/live/1048_1.m3u8
江西卫视,http://171.110.10.77:8181/tsfile/live/1047_1.m3u8
重庆卫视,http://171.110.10.77:8181/tsfile/live/1050_1.m3u8
吉林卫视,http://171.110.10.77:8181/tsfile/live/1059_1.m3u8
海南卫视,http://171.110.10.77:8181/tsfile/live/1072_1.m3u8
云南卫视,http://171.110.10.77:8181/tsfile/live/1092_1.m3u8


卫视|北京电信
北京卫视,http://124.126.5.153:9901/tsfile/live/1017_1.m3u8
湖南卫视,http://124.126.5.153:9901/tsfile/live/1027_1.m3u8
浙江卫视,http://124.126.5.153:9901/tsfile/live/1028_1.m3u8
江苏卫视,http://124.126.5.153:9901/tsfile/live/1029_1.m3u8
辽宁卫视,http://124.126.5.153:9901/tsfile/live/1032_1.m3u8
天津卫视,http://124.126.5.153:9901/tsfile/live/1031_1.m3u8
安徽卫视,http://124.126.5.153:9901/tsfile/live/1030_1.m3u8
山东卫视,http://124.126.5.153:9901/tsfile/live/1033_1.m3u8
黑龙江卫视,http://124.126.5.153:9901/tsfile/live/1035_1.m3u8
江西卫视,http://124.126.5.153:9901/tsfile/live/1037_1.m3u8
贵州卫视,http://124.126.5.153:9901/tsfile/live/1038_1.m3u8
深圳卫视,http://124.126.5.153:9901/tsfile/live/1039_1.m3u8
湖北卫视,http://124.126.5.153:9901/tsfile/live/1040_1.m3u8
东方卫视,http://124.126.5.153:9901/tsfile/live/1041_1.m3u8
东南卫视,http://124.126.5.153:9901/tsfile/live/1043_1.m3u8
重庆卫视,http://124.126.5.153:9901/tsfile/live/1042_1.m3u8
河北卫视,http://124.126.5.153:9901/tsfile/live/1044_1.m3u8
广东卫视,http://124.126.5.153:9901/tsfile/live/1045_1.m3u8
吉林卫视,http://124.126.5.153:9901/tsfile/live/1047_1.m3u8


卫视|南宁移动
安徽卫视,http://39.135.34.144:8080/000000001000/1000000001000020780/index.m3u8?test/PLTV/=02
北京卫视,http://39.135.34.144:8080/000000001000/1000000001000017156/index.m3u8?test/PLTV/=02
重庆卫视,http://39.135.34.144:8080/000000001000/1000000002000018937/index.m3u8?test/PLTV/=02
东方卫视,http://39.135.34.144:8080/000000001000/1000000001000030202/index.m3u8?test/PLTV/=02
东南卫视,http://39.135.34.144:8080/000000001000/1000000002000009263/index.m3u8?test/PLTV/=02
广东卫视,http://39.135.34.144:8080/000000001000/1000000001000028357/index.m3u8?test/PLTV/=02
贵州卫视,http://39.135.34.144:8080/000000001000/1000000002000003169/index.m3u8?test/PLTV/=02
黑龙江卫视,http://39.135.34.144:8080/000000001000/1000000001000009082/index.m3u8?test/PLTV/=02
河北卫视,http://39.135.34.144:8080/000000001000/1000000002000017118/index.m3u8?test/PLTV/=02
湖北卫视,http://39.135.34.144:8080/000000001000/1000000001000024621/index.m3u8?test/PLTV/=02
